index,x,y_elevation,z,cumulative_length_m
332,-156.20086669921875,-5.600948810577393,-109.27066802978516,525.7732543945312
333,-156.0771484375,-5.59407377243042,-110.8354721069336,527.343017578125
334,-155.9534912109375,-5.586958885192871,-112.39924621582031,528.9117431640625
335,-155.8296661376953,-5.579094409942627,-113.96202087402344,530.4794921875
336,-155.7056121826172,-5.571176528930664,-115.52386474609375,532.0463256835938
337,-155.58119201660156,-5.563145160675049,-117.08470153808594,533.6121826171875
338,-155.45655822753906,-5.555946350097656,-118.6446762084961,535.1771850585938
339,-155.331787109375,-5.548375129699707,-120.20374298095703,536.7413330078125
340,-155.20669555664062,-5.540863037109375,-121.76188659667969,538.3045654296875
341,-155.0808868408203,-5.532675743103027,-123.3191146850586,539.866943359375
342,-154.95433044433594,-5.523670196533203,-124.87542724609375,541.428466796875
343,-154.8265380859375,-5.515352725982666,-126.430908203125,542.9892578125
344,-154.69749450683594,-5.508040428161621,-127.98552703857422,544.54931640625
345,-154.5674591064453,-5.502005577087402,-129.53916931152344,546.1084594726562
346,-154.43609619140625,-5.495891094207764,-131.09165954589844,547.6665649414062
347,-154.30308532714844,-5.488241672515869,-132.64295959472656,549.2236328125
348,-154.16873168945312,-5.480666160583496,-134.193359375,550.7799072265625
349,-154.03370666503906,-5.473210334777832,-135.7428741455078,552.3353881835938
350,-153.89918518066406,-5.4674763679504395,-137.2914581298828,553.889892578125
351,-153.76515197753906,-5.46102237701416,-138.8385467529297,555.44287109375
352,-153.63197326660156,-5.454002857208252,-140.38343811035156,556.9935302734375
353,-153.49977111816406,-5.444913387298584,-141.92433166503906,558.5401611328125
354,-153.3686065673828,-5.436509132385254,-143.46005249023438,560.08154296875
355,-153.23789978027344,-5.427399635314941,-144.9904327392578,561.6175537109375
356,-153.10757446289062,-5.418442726135254,-146.5155487060547,563.1483154296875
357,-152.97732543945312,-5.409787654876709,-148.03550720214844,564.6738891601562
358,-152.84719848632812,-5.4022698402404785,-149.5502471923828,566.1942749023438
359,-152.71730041503906,-5.39528751373291,-151.05979919433594,567.70947265625
360,-152.58766174316406,-5.388023376464844,-152.56410217285156,569.2194213867188
361,-152.45834350585938,-5.381481170654297,-154.06332397460938,570.7243041992188
362,-152.3196258544922,-5.373812675476074,-155.6721954345703,572.3392333984375
363,-152.18206787109375,-5.367023944854736,-157.27528381347656,573.9483032226562
364,-152.04519653320312,-5.360339164733887,-158.8725128173828,575.5514526367188
365,-151.90867614746094,-5.353421211242676,-160.46397399902344,577.1488037109375
366,-151.77259826660156,-5.345773220062256,-162.0494842529297,578.740234375
367,-151.6367950439453,-5.337683200836182,-163.62924194335938,580.3258666992188
368,-151.5011444091797,-5.329126834869385,-165.2034454345703,581.906005859375
369,-151.3656463623047,-5.320489406585693,-166.7743682861328,583.4828491210938
370,-151.2304229736328,-5.313052654266357,-168.34300231933594,585.057373046875
